item,designacion,cantidad,modulo,tipo,material_o_norma,plano,tolerancia_general,ajustes,soldadura,encajes,acabado
418,"NBT90 · MÓVIL · Eje polea Ø5/8"" g6 × 68.4",1,MÓVIL,CONTEXTO (no se fabrica),"Acero SAE 1045 rectificado",—,"—","Ø15,875 (5/8"") g6 (carga ESTACIONARIA sobre el aro interior ⇒ deslizante)","—","—","—"
419,"NBT90 · MÓVIL · Eje polea Ø5/8"" g6 × 73.5",1,MÓVIL,CONTEXTO (no se fabrica),"Acero SAE 1045 rectificado",—,"—","Ø15,875 (5/8"") g6 (carga ESTACIONARIA sobre el aro interior ⇒ deslizante)","—","—","—"
420,"NBT90 · MÓVIL · Golilla 1/4"" anclaje de la horquilla (X=206.7, Y=+124.76) Ø6.35",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
421,"NBT90 · MÓVIL · Golilla 1/4"" anclaje de la horquilla (X=206.7, Y=−124.76) Ø6.35",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
422,"NBT90 · MÓVIL · Golilla 1/4"" anclaje de la horquilla (X=256.3, Y=+124.76) Ø6.35",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
423,"NBT90 · MÓVIL · Golilla 1/4"" anclaje de la horquilla (X=256.3, Y=−124.76) Ø6.35",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
424,"NBT90 · MÓVIL · Golilla 3/8"" bajo cabeza (+Y, X=134) Ø9.525",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie ancha (W, Ø ext. 25.4)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
425,"NBT90 · MÓVIL · Golilla 3/8"" bajo cabeza (+Y, X=162) Ø9.525",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie ancha (W, Ø ext. 25.4)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
426,"NBT90 · MÓVIL · Golilla 3/8"" bajo cabeza (−Y, X=134) Ø9.525",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie ancha (W, Ø ext. 25.4)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
427,"NBT90 · MÓVIL · Golilla 3/8"" bajo cabeza (−Y, X=162) Ø9.525",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie ancha (W, Ø ext. 25.4)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
428,"NBT90 · MÓVIL · Golilla Guarda Y-150 Z196 (cabeza) Ø9.525",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
429,"NBT90 · MÓVIL · Golilla Guarda Y-150 Z196 (tuerca) Ø9.525",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
430,"NBT90 · MÓVIL · Golilla Guarda Y-150 Z284 (cabeza) Ø9.525",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
431,"NBT90 · MÓVIL · Golilla Guarda Y-150 Z284 (tuerca) Ø9.525",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
432,"NBT90 · MÓVIL · Golilla Guarda Y150 Z196 (cabeza) Ø9.525",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
433,"NBT90 · MÓVIL · Golilla Guarda Y150 Z196 (tuerca) Ø9.525",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
434,"NBT90 · MÓVIL · Golilla Guarda Y150 Z284 (cabeza) Ø9.525",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
435,"NBT90 · MÓVIL · Golilla Guarda Y150 Z284 (tuerca) Ø9.525",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
436,"NBT90 · MÓVIL · Golilla rodillo (línea 1, Y=-190.5, libre) Ø6.35",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
437,"NBT90 · MÓVIL · Golilla rodillo (línea 1, Y=-190.5, motriz) Ø6.35",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
438,"NBT90 · MÓVIL · Golilla rodillo (línea 2, Y=-114.3, libre) Ø6.35",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
439,"NBT90 · MÓVIL · Golilla rodillo (línea 2, Y=-114.3, motriz) Ø6.35",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
440,"NBT90 · MÓVIL · Golilla rodillo (línea 3, Y=-38.1, libre) Ø6.35",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
441,"NBT90 · MÓVIL · Golilla rodillo (línea 3, Y=-38.1, motriz) Ø6.35",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
442,"NBT90 · MÓVIL · Golilla rodillo (línea 4, Y=38.1, libre) Ø6.35",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
443,"NBT90 · MÓVIL · Golilla rodillo (línea 4, Y=38.1, motriz) Ø6.35",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
444,"NBT90 · MÓVIL · Golilla rodillo (línea 5, Y=114.3, libre) Ø6.35",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
445,"NBT90 · MÓVIL · Golilla rodillo (línea 5, Y=114.3, motriz) Ø6.35",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
446,"NBT90 · MÓVIL · Golilla rodillo (línea 6, Y=190.5, libre) Ø6.35",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
447,"NBT90 · MÓVIL · Golilla rodillo (línea 6, Y=190.5, motriz) Ø6.35",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 1/4"", serie estrecha (N, Ø ext. 14.27)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
448,"NBT90 · MÓVIL · Golilla Spacer plate libre Y-170 (cabeza) Ø9.525",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
449,"NBT90 · MÓVIL · Golilla Spacer plate libre Y-170 (tuerca) Ø9.525",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
450,"NBT90 · MÓVIL · Golilla Spacer plate libre Y-55 (cabeza) Ø9.525",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
451,"NBT90 · MÓVIL · Golilla Spacer plate libre Y-55 (tuerca) Ø9.525",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
452,"NBT90 · MÓVIL · Golilla Spacer plate libre Y170 (cabeza) Ø9.525",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
453,"NBT90 · MÓVIL · Golilla Spacer plate libre Y170 (tuerca) Ø9.525",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
454,"NBT90 · MÓVIL · Golilla Spacer plate libre Y55 (cabeza) Ø9.525",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
455,"NBT90 · MÓVIL · Golilla Spacer plate libre Y55 (tuerca) Ø9.525",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
456,"NBT90 · MÓVIL · Golilla Spacer plate motriz Y-170 (cabeza) Ø9.525",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
457,"NBT90 · MÓVIL · Golilla Spacer plate motriz Y-170 (tuerca) Ø9.525",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
458,"NBT90 · MÓVIL · Golilla Spacer plate motriz Y-55 (cabeza) Ø9.525",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
459,"NBT90 · MÓVIL · Golilla Spacer plate motriz Y-55 (tuerca) Ø9.525",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
460,"NBT90 · MÓVIL · Golilla Spacer plate motriz Y170 (cabeza) Ø9.525",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
461,"NBT90 · MÓVIL · Golilla Spacer plate motriz Y170 (tuerca) Ø9.525",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
462,"NBT90 · MÓVIL · Golilla Spacer plate motriz Y55 (cabeza) Ø9.525",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
463,"NBT90 · MÓVIL · Golilla Spacer plate motriz Y55 (tuerca) Ø9.525",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.22.1 — arandela plana tipo A, 3/8"", serie estrecha (N, Ø ext. 20.62)",—,"acero al carbono","—","—","—","zincado ASTM F1941"
464,"NBT90 · MÓVIL · Ménsula de anclaje de la horquilla 3/16"" 73.64×60.97",2,MÓVIL,CONTEXTO (no se fabrica),"Chapa de acero 0.187"", galvanizada",—,"—","colisa 7,0 H13 × 11 (vertical) holgura 0,65 mm en X · ±2,0 mm en Z (las dos direcciones NO son iguales, y ahí está el ajuste: en X el taladro es CERRADO (0,65 mm, el mismo criterio de AJ-11) y sitúa; en Z es colisa, porque quien fija Z es el APOYO PLANO del brazo contra el alma del canal y el perno no puede competir con él. Los ±2 mm de recorrido son ISO 13920-B sobre los 368,5 mm del canal soldado al que va la ménsula. La unión trabaja por rozamiento bajo la golilla (2 819 N por perno).)","cordón en ángulo (filete) a=1.86 · AWS D1.3/D1.3M — Structural Welding Code, Sheet Steel (e ≤ 4,8 mm); símbolo según ISO 2553","U6-+Y tope/tope","—"
465,"NBT90 · MÓVIL · Motorreductor SEW RF07DRS71S4 — 1/2 hp, 230/460/3, 462 rpm",1,MÓVIL,CONTEXTO (no se fabrica),"SEW-EURODRIVE RF07 DRS71S4 — motorreductor de ejes paralelos con brida · Hytrol 300.0322",—,"1/2 hp, 230/460 V 3~, 462 rpm de salida; brida IEC 60072 B14 C120 (Ø120, círculo Ø100, 4 × M8)","—","—","—","—"
466,"NBT90 · MÓVIL · NEUMÁTICA · Cilindro MGPM80-10Z — placa móvil 198×75×22",1,MÓVIL,CONTEXTO (no se fabrica),"SMC serie MGP — MGPM80-10Z, cilindro compacto con guías Ø80, carrera 10 mm, casquillo de deslizamiento, con imán",—,"roscas de montaje M12 × 1,75 (patrones MM 180 × 54 y NN 174 × 52); puertos Rc 3/8 (ISO 7-1)","—","—","—","—"
467,"NBT90 · MÓVIL · NEUMÁTICA · Cilindro MGPM80-10Z — varilla guía Ø25 × 93",1,MÓVIL,CONTEXTO (no se fabrica),"SMC serie MGP — MGPM80-10Z, cilindro compacto con guías Ø80, carrera 10 mm, casquillo de deslizamiento, con imán",—,"roscas de montaje M12 × 1,75 (patrones MM 180 × 54 y NN 174 × 52); puertos Rc 3/8 (ISO 7-1)","—","—","—","—"
468,"NBT90 · MÓVIL · NEUMÁTICA · Cilindro MGPM80-10Z — varilla guía Ø25 × 93",1,MÓVIL,CONTEXTO (no se fabrica),"SMC serie MGP — MGPM80-10Z, cilindro compacto con guías Ø80, carrera 10 mm, casquillo de deslizamiento, con imán",—,"roscas de montaje M12 × 1,75 (patrones MM 180 × 54 y NN 174 × 52); puertos Rc 3/8 (ISO 7-1)","—","—","—","—"
469,"NBT90 · MÓVIL · NEUMÁTICA · Cilindro MGPM80-10Z — vástago del émbolo Ø25",1,MÓVIL,CONTEXTO (no se fabrica),"SMC serie MGP — MGPM80-10Z, cilindro compacto con guías Ø80, carrera 10 mm, casquillo de deslizamiento, con imán",—,"roscas de montaje M12 × 1,75 (patrones MM 180 × 54 y NN 174 × 52); puertos Rc 3/8 (ISO 7-1)","—","—","—","—"
470,"NBT90 · MÓVIL · Notched brace channel 1-3/4""×40 12 GA × 368.52",1,MÓVIL,CONTEXTO (no se fabrica),"Chapa de acero 0.105"" conformada, galvanizada",—,"—","—","cordón en ángulo (filete) a=1.86 · AWS D1.3/D1.3M — Structural Welding Code, Sheet Steel (e ≤ 4,8 mm); símbolo según ISO 2553","U2-motriz-+Y-pos lengueta/posicion · U2-motriz-+Y-paso lengueta/paso · U2-libre-+Y-pos lengueta/posicion · U2-libre-+Y-paso lengueta/paso · U3-+Y-a pasador/posicion · U3-+Y-b pasador/paso","—"
471,"NBT90 · MÓVIL · Notched brace channel 1-3/4""×40 12 GA × 368.52",1,MÓVIL,CONTEXTO (no se fabrica),"Chapa de acero 0.105"" conformada, galvanizada",—,"—","—","cordón en ángulo (filete) a=1.86 · AWS D1.3/D1.3M — Structural Welding Code, Sheet Steel (e ≤ 4,8 mm); símbolo según ISO 2553","U2-motriz--Y-pos lengueta/posicion · U2-motriz--Y-paso lengueta/paso · U2-libre--Y-pos lengueta/posicion · U2-libre--Y-paso lengueta/paso · U3--Y-a pasador/posicion · U3--Y-b pasador/paso","—"
472,"NBT90 · MÓVIL · Pasador de retención Ø12.7 × 39.91 en colisa",4,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.3 — tornillo de hombro, hombro Ø1/2"" × 25, rosca 3/8-16 UNC · Hytrol 042.512",—,"acero aleado templado 45 HRC mínimo, hombro rectificado h9","—","—","—","pavonado"
473,"NBT90 · MÓVIL · Perno hex 1/4-20 UNC × 19.05 · rodillo",6,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.2.1 — tornillo de cabeza hexagonal 1/4-20 UNC-2A",—,"SAE J429 grado 5 (carga de prueba 85 ksi)","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
474,"NBT90 · MÓVIL · Perno hex 1/4-20 UNC × 19.05 · rodillo",6,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.2.1 — tornillo de cabeza hexagonal 1/4-20 UNC-2A",—,"SAE J429 grado 5 (carga de prueba 85 ksi)","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
475,"NBT90 · MÓVIL · Perno hex 1/4-20 UNC × 3/4"" anclaje de la horquilla al cassette",2,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.2.1 — tornillo de cabeza hexagonal 1/4-20 UNC-2A",—,"SAE J429 grado 5 (carga de prueba 85 ksi)","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
476,"NBT90 · MÓVIL · Perno hex 1/4-20 UNC × 3/4"" anclaje de la horquilla al cassette",2,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.2.1 — tornillo de cabeza hexagonal 1/4-20 UNC-2A",—,"SAE J429 grado 5 (carga de prueba 85 ksi)","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
477,"NBT90 · MÓVIL · Perno hex 3/8-16 × 22.19 · Guarda Y-150 Z196",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.2.1 — tornillo de cabeza hexagonal 3/8-16 UNC-2A",—,"SAE J429 grado 5 (carga de prueba 85 ksi)","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
478,"NBT90 · MÓVIL · Perno hex 3/8-16 × 22.19 · Guarda Y-150 Z284",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.2.1 — tornillo de cabeza hexagonal 3/8-16 UNC-2A",—,"SAE J429 grado 5 (carga de prueba 85 ksi)","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
479,"NBT90 · MÓVIL · Perno hex 3/8-16 × 22.19 · Guarda Y150 Z196",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.2.1 — tornillo de cabeza hexagonal 3/8-16 UNC-2A",—,"SAE J429 grado 5 (carga de prueba 85 ksi)","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
480,"NBT90 · MÓVIL · Perno hex 3/8-16 × 22.19 · Guarda Y150 Z284",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.2.1 — tornillo de cabeza hexagonal 3/8-16 UNC-2A",—,"SAE J429 grado 5 (carga de prueba 85 ksi)","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
481,"NBT90 · MÓVIL · Perno hex 3/8-16 × 25.06 · Spacer plate libre Y-170",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.2.1 — tornillo de cabeza hexagonal 3/8-16 UNC-2A",—,"SAE J429 grado 5 (carga de prueba 85 ksi)","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
482,"NBT90 · MÓVIL · Perno hex 3/8-16 × 25.06 · Spacer plate libre Y-55",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.2.1 — tornillo de cabeza hexagonal 3/8-16 UNC-2A",—,"SAE J429 grado 5 (carga de prueba 85 ksi)","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
483,"NBT90 · MÓVIL · Perno hex 3/8-16 × 25.06 · Spacer plate libre Y170",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.2.1 — tornillo de cabeza hexagonal 3/8-16 UNC-2A",—,"SAE J429 grado 5 (carga de prueba 85 ksi)","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
484,"NBT90 · MÓVIL · Perno hex 3/8-16 × 25.06 · Spacer plate libre Y55",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.2.1 — tornillo de cabeza hexagonal 3/8-16 UNC-2A",—,"SAE J429 grado 5 (carga de prueba 85 ksi)","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
485,"NBT90 · MÓVIL · Perno hex 3/8-16 × 25.06 · Spacer plate motriz Y-170",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.2.1 — tornillo de cabeza hexagonal 3/8-16 UNC-2A",—,"SAE J429 grado 5 (carga de prueba 85 ksi)","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
486,"NBT90 · MÓVIL · Perno hex 3/8-16 × 25.06 · Spacer plate motriz Y-55",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.2.1 — tornillo de cabeza hexagonal 3/8-16 UNC-2A",—,"SAE J429 grado 5 (carga de prueba 85 ksi)","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
487,"NBT90 · MÓVIL · Perno hex 3/8-16 × 25.06 · Spacer plate motriz Y170",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.2.1 — tornillo de cabeza hexagonal 3/8-16 UNC-2A",—,"SAE J429 grado 5 (carga de prueba 85 ksi)","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
488,"NBT90 · MÓVIL · Perno hex 3/8-16 × 25.06 · Spacer plate motriz Y55",1,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.2.1 — tornillo de cabeza hexagonal 3/8-16 UNC-2A",—,"SAE J429 grado 5 (carga de prueba 85 ksi)","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
489,"NBT90 · MÓVIL · Perno hex 3/8-16 × 3/4"" placa↔cartela del larguero",4,MÓVIL,CONTEXTO (no se fabrica),"ASME B18.2.1 — tornillo de cabeza hexagonal 3/8-16 UNC-2A",—,"SAE J429 grado 5 (carga de prueba 85 ksi)","—","—","—","zincado electrolítico ASTM F1941 Fe/Zn 5AN"
490,"NBT90 · MÓVIL · Perno hex M8 × 20 brida motorreductor IEC B14 C120",4,MÓVIL,CONTEXTO (no se fabrica),"ISO 4017 (DIN 933) — tornillo de cabeza hexagonal M8, rosca total",—,"clase de resistencia 8.8 (ISO 898-1)","—","—","—","zincado electrolítico ISO 4042"
491,"NBT90 · MÓVIL · Placa de apriete del tensor 1/4""×24×40",1,MÓVIL,CONTEXTO (no se fabrica),"Chapa de acero 0.25"", galvanizada",—,"—","Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","—","—","—"
492,"NBT90 · MÓVIL · Placa peine 3/16"" 432×293.26",1,MÓVIL,CONTEXTO (no se fabrica),"Chapa de acero 0.187"", galvanizada",—,"—","Ø7,0 H12 holgura 0,65 mm sobre el vástago Ø6,35 (taladro de POSICIÓN, no de paso: el vástago hace de pasador y toma la carga radial del rodillo. Un taladro de paso normal de 1/4"" sería Ø7,95 (holgura 1,6).) · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","cordón en ángulo (filete) a=3.33 · AWS D1.3/D1.3M — Structural Welding Code, Sheet Steel (e ≤ 4,8 mm); símbolo según ISO 2553","U1-motriz-+Y ranura/posicion · U1-motriz--Y ranura/posicion","—"
493,"NBT90 · MÓVIL · Placa peine 3/16"" 432×293.26",1,MÓVIL,CONTEXTO (no se fabrica),"Chapa de acero 0.187"", galvanizada",—,"—","Ø7,0 H12 holgura 0,65 mm sobre el vástago Ø6,35 (taladro de POSICIÓN, no de paso: el vástago hace de pasador y toma la carga radial del rodillo. Un taladro de paso normal de 1/4"" sería Ø7,95 (holgura 1,6).) · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","cordón en ángulo (filete) a=3.33 · AWS D1.3/D1.3M — Structural Welding Code, Sheet Steel (e ≤ 4,8 mm); símbolo según ISO 2553","U1-libre-+Y ranura/posicion · U1-libre--Y ranura/posicion","—"
494,"NBT90 · MÓVIL · Placa soporte de transmisión 1/4""×374×150 c/colisa tensor",1,MÓVIL,CONTEXTO (no se fabrica),"Chapa de acero 0.25"", galvanizada",—,"—","Ø60 H8 H8/h8 (resalte de centraje de una brida IEC: tiene que centrar, no apretar. Con H8/h8 el juego máximo es 0,092 mm; el modelo dibuja 0,05 de radio para que el sólido no se solape.) · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","cordón en ángulo (filete) a=4.44 · AWS D1.1/D1.1M — Structural Welding Code, Steel; símbolo según ISO 2553","U6-pestana--Y lengueta/posicion · U6-pestana-+Y lengueta/posicion · U6-doblador tope/tope","—"
495,"NBT90 · MÓVIL · Polea de retorno banda plana Ø2-1/2""×1.4"" c/pestañas Ø73.5",1,MÓVIL,CONTEXTO (no se fabrica),"Banda plana poliéster/uretano 2.5 mm (empalme sin fin)",—,"—","Ø34,925 (1-3/8"") N7 (carga ROTANTE sobre el aro exterior (gira la llanta, el espárrago está quieto))","—","—","—"
